,train_loss,val_loss,val_roi,val_sharp,val_rank
0,3.378749370574951,2.6645472049713135,tensor([0.7338]),tensor([5.3011]),tensor([0.5669])
1,2.4586520195007324,2.336634397506714,tensor([0.7952]),tensor([5.8342]),tensor([0.7204])
2,2.175718069076538,2.0756165981292725,tensor([0.8032]),tensor([4.7852]),tensor([0.7584])
3,2.052685499191284,2.035579204559326,tensor([0.8030]),tensor([4.7174]),tensor([0.7578])
4,2.0237298011779785,2.016986608505249,tensor([0.8031]),tensor([4.7131]),tensor([0.7577])
5,2.0120043754577637,2.012577772140503,tensor([0.8034]),tensor([4.7139]),tensor([0.7585])
6,2.005329132080078,2.011549949645996,tensor([0.8036]),tensor([4.7147]),tensor([0.7589])
7,2.0055809020996094,2.018646001815796,tensor([0.8034]),tensor([4.7157]),tensor([0.7586])
8,2.001955986022949,2.0148367881774902,tensor([0.8033]),tensor([4.7132]),tensor([0.7582])
9,1.9980322122573853,2.0140833854675293,tensor([0.8032]),tensor([4.7140]),tensor([0.7581])
10,2.004511833190918,1.9870209693908691,tensor([0.8036]),tensor([4.7123]),tensor([0.7586])
11,1.9855024814605713,1.97329580783844,tensor([0.8034]),tensor([4.7001]),tensor([0.7582])
12,1.9763981103897095,1.9690954685211182,tensor([0.8035]),tensor([4.6998]),tensor([0.7583])
13,1.9737612009048462,1.9669616222381592,tensor([0.8036]),tensor([4.6985]),tensor([0.7585])
14,1.9717780351638794,1.965528964996338,tensor([0.8036]),tensor([4.6987]),tensor([0.7586])
15,1.9706838130950928,1.9643861055374146,tensor([0.8036]),tensor([4.6987]),tensor([0.7586])
16,1.9696189165115356,1.9638139009475708,tensor([0.8034]),tensor([4.6980]),tensor([0.7582])
17,1.9679393768310547,1.9634249210357666,tensor([0.8034]),tensor([4.6982]),tensor([0.7582])
18,1.9681580066680908,1.9622780084609985,tensor([0.8035]),tensor([4.6998]),tensor([0.7585])
19,1.9655311107635498,1.9586937427520752,tensor([0.8034]),tensor([4.7001]),tensor([0.7583])
20,1.964211106300354,1.9579622745513916,tensor([0.8034]),tensor([4.7001]),tensor([0.7583])
21,1.9650040864944458,1.957385540008545,tensor([0.8035]),tensor([4.7000]),tensor([0.7584])
22,1.9645545482635498,1.9565067291259766,tensor([0.8035]),tensor([4.6999]),tensor([0.7585])
23,1.9640096426010132,1.9558722972869873,tensor([0.8035]),tensor([4.6999]),tensor([0.7584])
24,1.9626492261886597,1.955141305923462,tensor([0.8035]),tensor([4.6999]),tensor([0.7584])
25,1.9619507789611816,1.9544440507888794,tensor([0.8035]),tensor([4.6999]),tensor([0.7584])
26,1.9613187313079834,1.9537920951843262,tensor([0.8035]),tensor([4.7000]),tensor([0.7584])
27,1.960505723953247,1.9530363082885742,tensor([0.8035]),tensor([4.7000]),tensor([0.7584])
28,1.9596079587936401,1.9521178007125854,tensor([0.8035]),tensor([4.7000]),tensor([0.7584])
29,1.9587041139602661,1.9500824213027954,tensor([0.8035]),tensor([4.7001]),tensor([0.7584])
30,1.9578009843826294,1.9486637115478516,tensor([0.8035]),tensor([4.7001]),tensor([0.7585])
31,1.9569876194000244,1.9475101232528687,tensor([0.8035]),tensor([4.7001]),tensor([0.7585])
32,1.9560900926589966,1.9465962648391724,tensor([0.8035]),tensor([4.7003]),tensor([0.7585])
33,1.955051064491272,1.9456727504730225,tensor([0.8035]),tensor([4.7003]),tensor([0.7585])
34,1.9539434909820557,1.9446790218353271,tensor([0.8035]),tensor([4.7005]),tensor([0.7585])
35,1.9531408548355103,1.9435982704162598,tensor([0.8034]),tensor([4.7006]),tensor([0.7584])
36,1.9521725177764893,1.9425177574157715,tensor([0.8034]),tensor([4.7006]),tensor([0.7584])
37,1.9512996673583984,1.941455364227295,tensor([0.8034]),tensor([4.7007]),tensor([0.7583])
38,1.9505773782730103,1.9404306411743164,tensor([0.8034]),tensor([4.7007]),tensor([0.7583])
39,1.9496232271194458,1.9397836923599243,tensor([0.8034]),tensor([4.7008]),tensor([0.7583])
40,1.9486535787582397,1.939634919166565,tensor([0.8034]),tensor([4.7008]),tensor([0.7583])
41,1.9477680921554565,1.9393336772918701,tensor([0.8034]),tensor([4.7004]),tensor([0.7582])
42,1.9469610452651978,1.9391075372695923,tensor([0.8034]),tensor([4.7004]),tensor([0.7582])
43,1.946136713027954,1.937849998474121,tensor([0.8034]),tensor([4.7001]),tensor([0.7583])
44,1.9453227519989014,1.9365867376327515,tensor([0.8034]),tensor([4.7001]),tensor([0.7583])
45,1.9445196390151978,1.9357606172561646,tensor([0.8034]),tensor([4.7000]),tensor([0.7583])
46,1.9437990188598633,1.9350147247314453,tensor([0.8034]),tensor([4.7000]),tensor([0.7583])
47,1.9431660175323486,1.934311032295227,tensor([0.8034]),tensor([4.7000]),tensor([0.7583])
48,1.942507266998291,1.9334261417388916,tensor([0.8034]),tensor([4.7000]),tensor([0.7583])
49,1.941796898841858,1.9325274229049683,tensor([0.8034]),tensor([4.7000]),tensor([0.7583])
50,1.9453996419906616,1.9302595853805542,tensor([0.8034]),tensor([4.7003]),tensor([0.7582])
51,1.9440052509307861,1.9287607669830322,tensor([0.8034]),tensor([4.6999]),tensor([0.7581])
52,1.9429242610931396,1.9274327754974365,tensor([0.8034]),tensor([4.7000]),tensor([0.7581])
53,1.9418728351593018,1.9267092943191528,tensor([0.8034]),tensor([4.6999]),tensor([0.7582])
54,1.940675973892212,1.9262150526046753,tensor([0.8034]),tensor([4.7001]),tensor([0.7582])
55,1.939945936203003,1.9257862567901611,tensor([0.8034]),tensor([4.7001]),tensor([0.7582])
56,1.9394381046295166,1.9253956079483032,tensor([0.8034]),tensor([4.7001]),tensor([0.7582])
57,1.9390432834625244,1.9250019788742065,tensor([0.8033]),tensor([4.7002]),tensor([0.7580])
58,1.938697338104248,1.9246001243591309,tensor([0.8033]),tensor([4.6994]),tensor([0.7581])
59,1.9383596181869507,1.9234369993209839,tensor([0.8034]),tensor([4.6994]),tensor([0.7581])
60,1.9380793571472168,1.9228984117507935,tensor([0.8033]),tensor([4.6994]),tensor([0.7581])
61,1.9378314018249512,1.9226425886154175,tensor([0.8033]),tensor([4.6994]),tensor([0.7581])
62,1.9375766515731812,1.9224724769592285,tensor([0.8034]),tensor([4.6993]),tensor([0.7581])
63,1.9373695850372314,1.9223010540008545,tensor([0.8034]),tensor([4.6993]),tensor([0.7581])
64,1.937187671661377,1.9221832752227783,tensor([0.8034]),tensor([4.6993]),tensor([0.7581])
65,1.9370008707046509,1.922017216682434,tensor([0.8034]),tensor([4.6994]),tensor([0.7581])
66,1.9368306398391724,1.9217420816421509,tensor([0.8034]),tensor([4.6994]),tensor([0.7581])
67,1.9366716146469116,1.9213485717773438,tensor([0.8033]),tensor([4.6988]),tensor([0.7578])
68,1.936521053314209,1.9210373163223267,tensor([0.8033]),tensor([4.6988]),tensor([0.7578])
69,1.936378836631775,1.9208641052246094,tensor([0.8033]),tensor([4.6988]),tensor([0.7578])
70,1.9362200498580933,1.9207634925842285,tensor([0.8033]),tensor([4.6988]),tensor([0.7578])
71,1.9360811710357666,1.9206057786941528,tensor([0.8033]),tensor([4.6988]),tensor([0.7578])
72,1.9359233379364014,1.9204840660095215,tensor([0.8032]),tensor([4.6984]),tensor([0.7576])
73,1.9357964992523193,1.9203722476959229,tensor([0.8032]),tensor([4.6984]),tensor([0.7576])
74,1.9356553554534912,1.9202789068222046,tensor([0.8032]),tensor([4.6984]),tensor([0.7576])
75,1.935526967048645,1.920145869255066,tensor([0.8032]),tensor([4.6984]),tensor([0.7576])
76,1.935415267944336,1.9200133085250854,tensor([0.8032]),tensor([4.6984]),tensor([0.7576])
77,1.9353017807006836,1.919900894165039,tensor([0.8032]),tensor([4.6986]),tensor([0.7576])
78,1.9351814985275269,1.9198375940322876,tensor([0.8032]),tensor([4.6986]),tensor([0.7576])
79,1.9350848197937012,1.9197371006011963,tensor([0.8032]),tensor([4.6986]),tensor([0.7577])
80,0.0,0.0,tensor([0.8056]),tensor([4.7928]),tensor([0.7614])
